Game_Title,Platform,Release_Date,Meta_Score,User_Score
BioShock Infinite,Xbox360,,93,8.6
Braid,Xbox360,,93,8.5
God of War II,PlayStation2,,93,8.9
Super Mario 3D World,WiiU,,93,8.9
Ori and the Will of the Wisps,Switch,,93,8.9
Starcraft II: Wings of Liberty,PC,,93,8.3
SSX,PlayStation2,,93,8.2
Street Fighter IV,Xbox360,,93,7.3
Minecraft,PC,,93,7.9
Undertale,Switch,,93,8.0
Persona 4 Golden,PlayStationVita,,93,8.6
Persona 5,PlayStation4,,93,8.7
Red Dead Redemption 2,PC,,93,5.5
SSX 3,PlayStation2,,93,8.8
Tom Clancy's Splinter Cell,Xbox,,93,8.6
Grand Theft Auto III,PC,2002-05-20,93,8.3
Quake III Arena,Dreamcast,,93,8.3
Homeworld,PC,,93,8.8
Okami,PlayStation2,,93,9.1
The Elder Scrolls IV: Oblivion,PlayStation3,,93,8.1
Fallout 3,Xbox360,,93,8.5
Gears of War 2,Xbox360,,93,7.8
SoulCalibur II,GameCube,,93,8.9
World Soccer Winning Eleven 6 International,PlayStation2,,93,8.3
NFL 2K3,PlayStation2,,93,7.3
Mass Effect 3,Xbox360,,93,5.9
Metal Gear Solid V: The Phantom Pain,PlayStation4,,93,8.2
Skies of Arcadia,Dreamcast,,93,8.9
The Legend of Zelda: Skyward Sword,Wii,,93,8.1
Mario Kart Super Circuit,GameBoyAdvance,,93,7.9
Rock Band 3,Xbox360,,93,8.0
Viewtiful Joe,GameCube,,93,8.3
Test Drive Le Mans,Dreamcast,,93,8.2
NBA 2K1,Dreamcast,,93,7.1
Castlevania: Symphony of the Night,PlayStation,,93,9.2
Star Wars: Knights of the Old Republic,PC,,93,9.0
Virtua Fighter 4: Evolution,PlayStation2,,93,8.6
Uncharted 4: A Thief's End,PlayStation4,2016-05-10,93,8.5
Super Smash Bros. Ultimate,Switch,,93,8.6
Braid,PlayStation3,,93,7.8
Mass Effect 3,PlayStation3,,93,5.7
Paper Mario,Nintendo64,,93,9.1
Wipeout XL,PlayStation,,93,8.6
Grand Theft Auto: San Andreas,Xbox,,93,8.7
Resident Evil 2,XboxOne,,93,8.6
INSIDE,XboxOne,,93,8.3
World of Warcraft,PC,,93,7.4
Grand Theft Auto: San Andreas,PC,,93,8.9
Flipnote Studio,DS,,93,7.5
World Soccer Winning Eleven 7 International,PlayStation2,,93,8.3
NBA 2K2,Dreamcast,,93,7.3
SoulCalibur II,PlayStation2,,92,8.7
The Elder Scrolls V: Skyrim,PlayStation3,,92,6.6
Hades,PC,,92,9.0
Prince of Persia: The Sands of Time,Xbox,,92,7.8
Call of Duty 4: Modern Warfare,PC,,92,8.5
Forza Horizon 4,XboxOne,,92,8.1
God of War III,PlayStation3,,92,8.8
Divinity: Original Sin II - Definitive Edition,XboxOne,,92,7.7
NFL 2K3,GameCube,,92,7.1
SSX Tricky,PlayStation2,,92,8.8
NHL 2002,PlayStation2,,92,8.3
Guitar Hero II,Xbox360,,92,8.1
Prince of Persia: The Sands of Time,PlayStation2,,92,8.8
Uncharted 3: Drake's Deception,PlayStation3,,92,8.4
Rock Band,Xbox360,,92,8.0
Journey,PlayStation4,,92,8.3
Bloodborne,PlayStation4,,92,8.9
Eternal Darkness: Sanity's Requiem,GameCube,,92,8.7
Warcraft III: Reign of Chaos,PC,,92,9.2
SSX 3,GameCube,,92,8.7
The Sims,PC,,92,7.9
Banjo-Kazooie,Nintendo64,1998-05-31,92,9.1
Sid Meier's Gettysburg!,PC,,92,7.4
Celeste,Switch,,92,8.5
Rock Band 2,Wii,,92,7.2
Forza Motorsport,Xbox,2005-05-03,92,7.6
Madden NFL 2004,Xbox,,92,7.6
Super Street Fighter IV,PlayStation3,,92,7.8
World Soccer Winning Eleven 7 International,PC,,92,6.8
Advance Wars,GameBoyAdvance,,92,8.9
Vagrant Story,PlayStation,2000-05-15,92,9.1
What Remains of Edith Finch,XboxOne,,92,7.7
Team Fortress 2,PC,,92,9.1
System Shock 2,PC,,92,9.1
Tom Clancy's Splinter Cell: Chaos Theory,PC,,92,8.7
Final Fantasy XII,PlayStation2,,92,7.6
Undertale,PlayStation4,,92,6.9
Madden NFL 2003,GameCube,,92,7.4
The Witcher 3: Wild Hunt,PlayStation4,2015-05-19,92,9.2
Super Mario World: Super Mario Advance 2,GameBoyAdvance,,92,9.0
ESPN NFL 2K5,Xbox,,92,8.0
Super Smash Bros. Melee,GameCube,,92,9.1
Madden NFL 2003,Xbox,,92,7.2
Virtua Tennis,Dreamcast,,92,7.3
Rome: Total War,PC,,92,9.1
Forza Motorsport 3,Xbox360,,92,8.1
Okami HD,PC,,92,7.9
Undertale,PC,,92,8.4
Batman: Arkham Asylum,Xbox360,,92,8.8
Super Mario Sunshine,GameCube,,92,8.5
SSX 3,Xbox,,92,8.2
SoulCalibur II,Xbox,,92,8.7
Tony Hawk's Pro Skater,PlayStation,,92,8.8
Thief: The Dark Project,PC,,92,9.0
Fire Emblem: Awakening,3DS,,92,9.1
Age of Empires II: The Age of Kings,PC,,92,9.1
Final Fantasy X,PlayStation2,,92,8.9
Prince of Persia: The Sands of Time,GameCube,,92,8.1
The Walking Dead: A Telltale Games Series,Xbox360,,92,8.6
Unreal Tournament (1999),PC,,92,9.0
Sid Meier's Alpha Centauri,PC,,92,8.8
Wave Race 64,Nintendo64,,92,8.3
